,fueltype,aspiration,doornumber,carbody,wheelbase,carlength,carwidth,carheight,enginetype,enginesize,horsepower,peakrpm,price
0,gas,std,two,convertible,88.6,168.8,64.1,48.8,dohc,130,111,5000,13495.0
1,gas,std,two,convertible,88.6,168.8,64.1,48.8,dohc,130,111,5000,16500.0
2,gas,std,two,hatchback,94.5,171.2,65.5,52.4,ohcv,152,154,5000,16500.0
3,gas,std,four,sedan,99.8,176.6,66.2,54.3,ohc,109,102,5500,13950.0
4,gas,std,four,sedan,99.4,176.6,66.4,54.3,ohc,136,115,5500,17450.0
5,gas,std,two,sedan,99.8,177.3,66.3,53.1,ohc,136,110,5500,15250.0
6,gas,std,four,sedan,105.8,192.7,71.4,55.7,ohc,136,110,5500,17710.0
7,gas,std,four,wagon,105.8,192.7,71.4,55.7,ohc,136,110,5500,18920.0
8,gas,turbo,four,sedan,105.8,192.7,71.4,55.9,ohc,131,140,5500,23875.0
9,gas,turbo,two,hatchback,99.5,178.2,67.9,52.0,ohc,131,160,5500,17859.167
10,gas,std,two,sedan,101.2,176.8,64.8,54.3,ohc,108,101,5800,16430.0
11,gas,std,four,sedan,101.2,176.8,64.8,54.3,ohc,108,101,5800,16925.0
12,gas,std,two,sedan,101.2,176.8,64.8,54.3,ohc,164,121,4250,20970.0
13,gas,std,four,sedan,101.2,176.8,64.8,54.3,ohc,164,121,4250,21105.0
14,gas,std,four,sedan,103.5,189.0,66.9,55.7,ohc,164,121,4250,24565.0
15,gas,std,four,sedan,103.5,189.0,66.9,55.7,ohc,209,182,5400,30760.0
16,gas,std,two,sedan,103.5,193.8,67.9,53.7,ohc,209,182,5400,41315.0
17,gas,std,four,sedan,110.0,197.0,70.9,56.3,ohc,209,182,5400,36880.0
18,gas,std,two,hatchback,88.4,141.1,60.3,53.2,l,61,48,5100,5151.0
19,gas,std,two,hatchback,94.5,155.9,63.6,52.0,ohc,90,70,5400,6295.0
20,gas,std,four,sedan,94.5,158.8,63.6,52.0,ohc,90,70,5400,6575.0
21,gas,std,two,hatchback,93.7,157.3,63.8,50.8,ohc,90,68,5500,5572.0
22,gas,std,two,hatchback,93.7,157.3,63.8,50.8,ohc,90,68,5500,6377.0
23,gas,turbo,two,hatchback,93.7,157.3,63.8,50.8,ohc,98,102,5500,7957.0
24,gas,std,four,hatchback,93.7,157.3,63.8,50.6,ohc,90,68,5500,6229.0
25,gas,std,four,sedan,93.7,157.3,63.8,50.6,ohc,90,68,5500,6692.0
26,gas,std,four,sedan,93.7,157.3,63.8,50.6,ohc,90,68,5500,7609.0
27,gas,turbo,two,sedan,93.7,157.3,63.8,50.6,ohc,98,102,5500,8558.0
28,gas,std,four,wagon,103.3,174.6,64.6,59.8,ohc,122,88,5000,8921.0
29,gas,turbo,two,hatchback,95.9,173.2,66.3,50.2,ohc,156,145,5000,12964.0
30,gas,std,two,hatchback,86.6,144.6,63.9,50.8,ohc,92,58,4800,6479.0
31,gas,std,two,hatchback,86.6,144.6,63.9,50.8,ohc,92,76,6000,6855.0
32,gas,std,two,hatchback,93.7,150.0,64.0,52.6,ohc,79,60,5500,5399.0
33,gas,std,two,hatchback,93.7,150.0,64.0,52.6,ohc,92,76,6000,6529.0
34,gas,std,two,hatchback,93.7,150.0,64.0,52.6,ohc,92,76,6000,7129.0
35,gas,std,four,sedan,96.5,163.4,64.0,54.5,ohc,92,76,6000,7295.0
36,gas,std,four,wagon,96.5,157.1,63.9,58.3,ohc,92,76,6000,7295.0
37,gas,std,two,hatchback,96.5,167.5,65.2,53.3,ohc,110,86,5800,7895.0
38,gas,std,two,hatchback,96.5,167.5,65.2,53.3,ohc,110,86,5800,9095.0
39,gas,std,four,sedan,96.5,175.4,65.2,54.1,ohc,110,86,5800,8845.0
40,gas,std,four,sedan,96.5,175.4,62.5,54.1,ohc,110,86,5800,10295.0
41,gas,std,four,sedan,96.5,175.4,65.2,54.1,ohc,110,101,5800,12945.0
42,gas,std,two,sedan,96.5,169.1,66.0,51.0,ohc,110,100,5500,10345.0
43,gas,std,four,sedan,94.3,170.7,61.8,53.5,ohc,111,78,4800,6785.0
44,gas,std,two,sedan,94.5,155.9,63.6,52.0,ohc,90,70,5400,8916.5
45,gas,std,four,sedan,94.5,155.9,63.6,52.0,ohc,90,70,5400,8916.5
46,gas,std,two,hatchback,96.0,172.6,65.2,51.4,ohc,119,90,5000,11048.0
47,gas,std,four,sedan,113.0,199.6,69.6,52.8,dohc,258,176,4750,32250.0
48,gas,std,four,sedan,113.0,199.6,69.6,52.8,dohc,258,176,4750,35550.0
49,gas,std,two,sedan,102.0,191.7,70.6,47.8,ohcv,326,262,5000,36000.0
50,gas,std,two,hatchback,93.1,159.1,64.2,54.1,ohc,91,68,5000,5195.0
51,gas,std,two,hatchback,93.1,159.1,64.2,54.1,ohc,91,68,5000,6095.0
52,gas,std,two,hatchback,93.1,159.1,64.2,54.1,ohc,91,68,5000,6795.0
53,gas,std,four,sedan,93.1,166.8,64.2,54.1,ohc,91,68,5000,6695.0
54,gas,std,four,sedan,93.1,166.8,64.2,54.1,ohc,91,68,5000,7395.0
55,gas,std,two,hatchback,95.3,169.0,65.7,49.6,rotor,70,101,6000,10945.0
56,gas,std,two,hatchback,95.3,169.0,65.7,49.6,rotor,70,101,6000,11845.0
57,gas,std,two,hatchback,95.3,169.0,65.7,49.6,rotor,70,101,6000,13645.0
58,gas,std,two,hatchback,95.3,169.0,65.7,49.6,rotor,80,135,6000,15645.0
59,gas,std,two,hatchback,98.8,177.8,66.5,53.7,ohc,122,84,4800,8845.0
60,gas,std,four,sedan,98.8,177.8,66.5,55.5,ohc,122,84,4800,8495.0
61,gas,std,two,hatchback,98.8,177.8,66.5,53.7,ohc,122,84,4800,10595.0
62,gas,std,four,sedan,98.8,177.8,66.5,55.5,ohc,122,84,4800,10245.0
63,diesel,std,four,sedan,98.8,177.8,66.5,55.5,ohc,122,64,4650,10795.0
64,gas,std,four,hatchback,98.8,177.8,66.5,55.5,ohc,122,84,4800,11245.0
65,gas,std,four,sedan,104.9,175.0,66.1,54.4,ohc,140,120,5000,18280.0
66,diesel,std,four,sedan,104.9,175.0,66.1,54.4,ohc,134,72,4200,18344.0
67,diesel,turbo,four,sedan,110.0,190.9,70.3,56.5,ohc,183,123,4350,25552.0
68,diesel,turbo,four,wagon,110.0,190.9,70.3,58.7,ohc,183,123,4350,28248.0
69,diesel,turbo,two,hardtop,106.7,187.5,70.3,54.9,ohc,183,123,4350,28176.0
70,diesel,turbo,four,sedan,115.6,202.6,71.7,56.3,ohc,183,123,4350,31600.0
71,gas,std,four,sedan,115.6,202.6,71.7,56.5,ohcv,234,155,4750,34184.0
72,gas,std,two,convertible,96.6,180.3,70.5,50.8,ohcv,234,155,4750,35056.0
73,gas,std,four,sedan,120.9,208.1,71.7,56.7,ohcv,308,184,4500,40960.0
74,gas,std,two,hardtop,112.0,199.2,72.0,55.4,ohcv,304,184,4500,45400.0
75,gas,turbo,two,hatchback,102.7,178.4,68.0,54.8,ohc,140,175,5000,16503.0
76,gas,std,two,hatchback,93.7,157.3,64.4,50.8,ohc,92,68,5500,5389.0
77,gas,std,two,hatchback,93.7,157.3,64.4,50.8,ohc,92,68,5500,6189.0
78,gas,std,two,hatchback,93.7,157.3,64.4,50.8,ohc,92,68,5500,6669.0
79,gas,turbo,two,hatchback,93.0,157.3,63.8,50.8,ohc,98,102,5500,7689.0
80,gas,turbo,two,hatchback,96.3,173.0,65.4,49.4,ohc,110,116,5500,9959.0
81,gas,std,two,hatchback,96.3,173.0,65.4,49.4,ohc,122,88,5000,8499.0
82,gas,turbo,two,hatchback,95.9,173.2,66.3,50.2,ohc,156,145,5000,12629.0
83,gas,turbo,two,hatchback,95.9,173.2,66.3,50.2,ohc,156,145,5000,14869.0
84,gas,turbo,two,hatchback,95.9,173.2,66.3,50.2,ohc,156,145,5000,14489.0
85,gas,std,four,sedan,96.3,172.4,65.4,51.6,ohc,122,88,5000,6989.0
86,gas,std,four,sedan,96.3,172.4,65.4,51.6,ohc,122,88,5000,8189.0
87,gas,turbo,four,sedan,96.3,172.4,65.4,51.6,ohc,110,116,5500,9279.0
88,gas,std,four,sedan,96.3,172.4,65.4,51.6,ohc,110,116,5500,9279.0
89,gas,std,two,sedan,94.5,165.3,63.8,54.5,ohc,97,69,5200,5499.0
90,diesel,std,two,sedan,94.5,165.3,63.8,54.5,ohc,103,55,4800,7099.0
91,gas,std,two,sedan,94.5,165.3,63.8,54.5,ohc,97,69,5200,6649.0
92,gas,std,four,sedan,94.5,165.3,63.8,54.5,ohc,97,69,5200,6849.0
93,gas,std,four,wagon,94.5,170.2,63.8,53.5,ohc,97,69,5200,7349.0
94,gas,std,two,sedan,94.5,165.3,63.8,54.5,ohc,97,69,5200,7299.0
95,gas,std,two,hatchback,94.5,165.6,63.8,53.3,ohc,97,69,5200,7799.0
96,gas,std,four,sedan,94.5,165.3,63.8,54.5,ohc,97,69,5200,7499.0
97,gas,std,four,wagon,94.5,170.2,63.8,53.5,ohc,97,69,5200,7999.0
98,gas,std,two,hardtop,95.1,162.4,63.8,53.3,ohc,97,69,5200,8249.0
99,gas,std,four,hatchback,97.2,173.4,65.2,54.7,ohc,120,97,5200,8949.0
100,gas,std,four,sedan,97.2,173.4,65.2,54.7,ohc,120,97,5200,9549.0
101,gas,std,four,sedan,100.4,181.7,66.5,55.1,ohcv,181,152,5200,13499.0
102,gas,std,four,wagon,100.4,184.6,66.5,56.1,ohcv,181,152,5200,14399.0
103,gas,std,four,sedan,100.4,184.6,66.5,55.1,ohcv,181,152,5200,13499.0
104,gas,std,two,hatchback,91.3,170.7,67.9,49.7,ohcv,181,160,5200,17199.0
105,gas,turbo,two,hatchback,91.3,170.7,67.9,49.7,ohcv,181,200,5200,19699.0
106,gas,std,two,hatchback,99.2,178.5,67.9,49.7,ohcv,181,160,5200,18399.0
107,gas,std,four,sedan,107.9,186.7,68.4,56.7,l,120,97,5000,11900.0
108,diesel,turbo,four,sedan,107.9,186.7,68.4,56.7,l,152,95,4150,13200.0
109,gas,std,four,wagon,114.2,198.9,68.4,58.7,l,120,97,5000,12440.0
110,diesel,turbo,four,wagon,114.2,198.9,68.4,58.7,l,152,95,4150,13860.0
111,gas,std,four,sedan,107.9,186.7,68.4,56.7,l,120,95,5000,15580.0
112,diesel,turbo,four,sedan,107.9,186.7,68.4,56.7,l,152,95,4150,16900.0
113,gas,std,four,wagon,114.2,198.9,68.4,56.7,l,120,95,5000,16695.0
114,diesel,turbo,four,wagon,114.2,198.9,68.4,58.7,l,152,95,4150,17075.0
115,gas,std,four,sedan,107.9,186.7,68.4,56.7,l,120,97,5000,16630.0
116,diesel,turbo,four,sedan,107.9,186.7,68.4,56.7,l,152,95,4150,17950.0
117,gas,turbo,four,sedan,108.0,186.7,68.3,56.0,l,134,142,5600,18150.0
118,gas,std,two,hatchback,93.7,157.3,63.8,50.8,ohc,90,68,5500,5572.0
119,gas,turbo,two,hatchback,93.7,157.3,63.8,50.8,ohc,98,102,5500,7957.0
120,gas,std,four,hatchback,93.7,157.3,63.8,50.6,ohc,90,68,5500,6229.0
121,gas,std,four,sedan,93.7,167.3,63.8,50.8,ohc,90,68,5500,6692.0
122,gas,std,four,sedan,93.7,167.3,63.8,50.8,ohc,98,68,5500,7609.0
123,gas,std,four,wagon,103.3,174.6,64.6,59.8,ohc,122,88,5000,8921.0
124,gas,turbo,two,hatchback,95.9,173.2,66.3,50.2,ohc,156,145,5000,12764.0
125,gas,std,two,hatchback,94.5,168.9,68.3,50.2,ohc,151,143,5500,22018.0
126,gas,std,two,hardtop,89.5,168.9,65.0,51.6,ohcf,194,207,5900,32528.0
127,gas,std,two,hardtop,89.5,168.9,65.0,51.6,ohcf,194,207,5900,34028.0
128,gas,std,two,convertible,89.5,168.9,65.0,51.6,ohcf,194,207,5900,37028.0
129,gas,std,two,hatchback,98.4,175.7,72.3,50.5,dohcv,203,288,5750,31400.5
130,gas,std,four,wagon,96.1,181.5,66.5,55.2,ohc,132,90,5100,9295.0
131,gas,std,two,hatchback,96.1,176.8,66.6,50.5,ohc,132,90,5100,9895.0
132,gas,std,two,hatchback,99.1,186.6,66.5,56.1,ohc,121,110,5250,11850.0
133,gas,std,four,sedan,99.1,186.6,66.5,56.1,ohc,121,110,5250,12170.0
134,gas,std,two,hatchback,99.1,186.6,66.5,56.1,ohc,121,110,5250,15040.0
135,gas,std,four,sedan,99.1,186.6,66.5,56.1,ohc,121,110,5250,15510.0
136,gas,turbo,two,hatchback,99.1,186.6,66.5,56.1,dohc,121,160,5500,18150.0
137,gas,turbo,four,sedan,99.1,186.6,66.5,56.1,dohc,121,160,5500,18620.0
138,gas,std,two,hatchback,93.7,156.9,63.4,53.7,ohcf,97,69,4900,5118.0
139,gas,std,two,hatchback,93.7,157.9,63.6,53.7,ohcf,108,73,4400,7053.0
140,gas,std,two,hatchback,93.3,157.3,63.8,55.7,ohcf,108,73,4400,7603.0
141,gas,std,four,sedan,97.2,172.0,65.4,52.5,ohcf,108,82,4800,7126.0
142,gas,std,four,sedan,97.2,172.0,65.4,52.5,ohcf,108,82,4400,7775.0
143,gas,std,four,sedan,97.2,172.0,65.4,52.5,ohcf,108,94,5200,9960.0
144,gas,std,four,sedan,97.0,172.0,65.4,54.3,ohcf,108,82,4800,9233.0
145,gas,turbo,four,sedan,97.0,172.0,65.4,54.3,ohcf,108,111,4800,11259.0
146,gas,std,four,wagon,97.0,173.5,65.4,53.0,ohcf,108,82,4800,7463.0
147,gas,std,four,wagon,97.0,173.5,65.4,53.0,ohcf,108,94,5200,10198.0
148,gas,std,four,wagon,96.9,173.6,65.4,54.9,ohcf,108,82,4800,8013.0
149,gas,turbo,four,wagon,96.9,173.6,65.4,54.9,ohcf,108,111,4800,11694.0
150,gas,std,two,hatchback,95.7,158.7,63.6,54.5,ohc,92,62,4800,5348.0
151,gas,std,two,hatchback,95.7,158.7,63.6,54.5,ohc,92,62,4800,6338.0
152,gas,std,four,hatchback,95.7,158.7,63.6,54.5,ohc,92,62,4800,6488.0
153,gas,std,four,wagon,95.7,169.7,63.6,59.1,ohc,92,62,4800,6918.0
154,gas,std,four,wagon,95.7,169.7,63.6,59.1,ohc,92,62,4800,7898.0
155,gas,std,four,wagon,95.7,169.7,63.6,59.1,ohc,92,62,4800,8778.0
156,gas,std,four,sedan,95.7,166.3,64.4,53.0,ohc,98,70,4800,6938.0
157,gas,std,four,hatchback,95.7,166.3,64.4,52.8,ohc,98,70,4800,7198.0
158,diesel,std,four,sedan,95.7,166.3,64.4,53.0,ohc,110,56,4500,7898.0
159,diesel,std,four,hatchback,95.7,166.3,64.4,52.8,ohc,110,56,4500,7788.0
160,gas,std,four,sedan,95.7,166.3,64.4,53.0,ohc,98,70,4800,7738.0
161,gas,std,four,hatchback,95.7,166.3,64.4,52.8,ohc,98,70,4800,8358.0
162,gas,std,four,sedan,95.7,166.3,64.4,52.8,ohc,98,70,4800,9258.0
163,gas,std,two,sedan,94.5,168.7,64.0,52.6,ohc,98,70,4800,8058.0
164,gas,std,two,hatchback,94.5,168.7,64.0,52.6,ohc,98,70,4800,8238.0
165,gas,std,two,sedan,94.5,168.7,64.0,52.6,dohc,98,112,6600,9298.0
166,gas,std,two,hatchback,94.5,168.7,64.0,52.6,dohc,98,112,6600,9538.0
167,gas,std,two,hardtop,98.4,176.2,65.6,52.0,ohc,146,116,4800,8449.0
168,gas,std,two,hardtop,98.4,176.2,65.6,52.0,ohc,146,116,4800,9639.0
169,gas,std,two,hatchback,98.4,176.2,65.6,52.0,ohc,146,116,4800,9989.0
170,gas,std,two,hardtop,98.4,176.2,65.6,52.0,ohc,146,116,4800,11199.0
171,gas,std,two,hatchback,98.4,176.2,65.6,52.0,ohc,146,116,4800,11549.0
172,gas,std,two,convertible,98.4,176.2,65.6,53.0,ohc,146,116,4800,17669.0
173,gas,std,four,sedan,102.4,175.6,66.5,54.9,ohc,122,92,4200,8948.0
174,diesel,turbo,four,sedan,102.4,175.6,66.5,54.9,ohc,110,73,4500,10698.0
175,gas,std,four,hatchback,102.4,175.6,66.5,53.9,ohc,122,92,4200,9988.0
176,gas,std,four,sedan,102.4,175.6,66.5,54.9,ohc,122,92,4200,10898.0
177,gas,std,four,hatchback,102.4,175.6,66.5,53.9,ohc,122,92,4200,11248.0
178,gas,std,two,hatchback,102.9,183.5,67.7,52.0,dohc,171,161,5200,16558.0
179,gas,std,two,hatchback,102.9,183.5,67.7,52.0,dohc,171,161,5200,15998.0
180,gas,std,four,sedan,104.5,187.8,66.5,54.1,dohc,171,156,5200,15690.0
181,gas,std,four,wagon,104.5,187.8,66.5,54.1,dohc,161,156,5200,15750.0
182,diesel,std,two,sedan,97.3,171.7,65.5,55.7,ohc,97,52,4800,7775.0
183,gas,std,two,sedan,97.3,171.7,65.5,55.7,ohc,109,85,5250,7975.0
184,diesel,std,four,sedan,97.3,171.7,65.5,55.7,ohc,97,52,4800,7995.0
185,gas,std,four,sedan,97.3,171.7,65.5,55.7,ohc,109,85,5250,8195.0
186,gas,std,four,sedan,97.3,171.7,65.5,55.7,ohc,109,85,5250,8495.0
187,diesel,turbo,four,sedan,97.3,171.7,65.5,55.7,ohc,97,68,4500,9495.0
188,gas,std,four,sedan,97.3,171.7,65.5,55.7,ohc,109,100,5500,9995.0
189,gas,std,two,convertible,94.5,159.3,64.2,55.6,ohc,109,90,5500,11595.0
190,gas,std,two,hatchback,94.5,165.7,64.0,51.4,ohc,109,90,5500,9980.0
191,gas,std,four,sedan,100.4,180.2,66.9,55.1,ohc,136,110,5500,13295.0
192,diesel,turbo,four,sedan,100.4,180.2,66.9,55.1,ohc,97,68,4500,13845.0
193,gas,std,four,wagon,100.4,183.1,66.9,55.1,ohc,109,88,5500,12290.0
194,gas,std,four,sedan,104.3,188.8,67.2,56.2,ohc,141,114,5400,12940.0
195,gas,std,four,wagon,104.3,188.8,67.2,57.5,ohc,141,114,5400,13415.0
196,gas,std,four,sedan,104.3,188.8,67.2,56.2,ohc,141,114,5400,15985.0
197,gas,std,four,wagon,104.3,188.8,67.2,57.5,ohc,141,114,5400,16515.0
198,gas,turbo,four,sedan,104.3,188.8,67.2,56.2,ohc,130,162,5100,18420.0
199,gas,turbo,four,wagon,104.3,188.8,67.2,57.5,ohc,130,162,5100,18950.0
200,gas,std,four,sedan,109.1,188.8,68.9,55.5,ohc,141,114,5400,16845.0
201,gas,turbo,four,sedan,109.1,188.8,68.8,55.5,ohc,141,160,5300,19045.0
202,gas,std,four,sedan,109.1,188.8,68.9,55.5,ohcv,173,134,5500,21485.0
203,diesel,turbo,four,sedan,109.1,188.8,68.9,55.5,ohc,145,106,4800,22470.0
204,gas,turbo,four,sedan,109.1,188.8,68.9,55.5,ohc,141,114,5400,22625.0
